id,10_연재확률,first_positive_10,second_rating_people_2,third_unreco_sum_5,label,positive_1,positive_2,positive_3,positive_4,positive_5,positive_6,positive_7,positive_8,positive_9,positive_10,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,rating_people_6,rating_people_7,rating_people_8,rating_people_9,rating_people_10,unreco_sum_1,unreco_sum_2,unreco_sum_3,unreco_sum_4,unreco_sum_5,unreco_sum_6,unreco_sum_7,unreco_sum_8,unreco_sum_9,unreco_sum_10,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3
15067,0.4586839304752302,6.0,3279.36,15,1,30.0,45.0,12.0,15.0,7.0,9.0,8.0,8.0,11.0,6.0,3003.8999999999996,3279.36,2425.44,2298.8999999999996,1866.31,1910.7,1495.75,1485.63,1385.28,1296.0,20,86,32,55,15,33,27,17,17,30,138,zkdl****,드디어,주짓수,기다렸어요,아무것도,있는데,주짓수
32937,0.5046502589356534,48.0,5032.86,2,0,140.0,48.0,61.0,59.0,51.0,58.0,65.0,63.0,33.0,48.0,5366.4,5032.86,4831.04,4694.799999999999,4757.97,4797.0,4631.25,4675.04,4484.429999999999,4261.74,10,5,1,1,2,3,0,13,6,12,380,zzan****,정주행,좋아요,좋네요,예수님을,이해가,뭔가
50004,0.6061359462797319,22.0,189.0,1,0,17.0,20.0,19.0,11.0,24.0,38.0,35.0,34.0,30.0,22.0,392.72999999999996,189.0,156.03,177.1,186.0,144.97,135.0,125.97,115.94,114.0,43,1,1,1,1,0,0,0,0,0,100,zzan****,붐업,최고,쵝오,앗,증말,기르고
50196,0.5363379159951028,64.0,8623.3,7,0,236.0,103.0,98.0,95.0,86.0,108.0,71.0,87.0,91.0,64.0,9341.099999999999,8623.3,8533.210000000001,8402.199999999999,8112.0,7988.639999999999,7386.12,7266.54,7185.75,6956.24,11,2,1,0,7,0,3,2,1,1,695,zzzn****,정주행,다시,생각나서,이글,50분내로5군데안올리면시험점수뚝떨어집니다,라디오
53694,0.5810409668373336,622.0,13973.15,47,0,513.0,440.0,785.0,548.0,547.0,309.0,442.0,690.0,471.0,622.0,15652.300000000001,13973.15,16523.68,15801.52,15176.880000000001,14970.380000000001,16022.8,14968.800000000001,14747.36,13528.86,136,70,57,157,47,43,54,34,51,116,3017,zzsk****,웃겨,큐티,아나,아니라,이해가,진구가
55031,0.500326797500396,6.0,3321.34,6,1,30.0,9.0,8.0,9.0,13.0,13.0,9.0,12.0,7.0,6.0,3865.1400000000003,3321.34,2883.8700000000003,2803.2,3214.4,3149.16,2973.12,2820.64,2834.34,2564.9799999999996,23,10,13,6,6,11,11,3,15,10,93,znfm****,재밌어요,웃대에서,재밌게,헐2009년때,감명깊게봤었는데,아이비야
58149,0.48568293021495446,10.0,5621.070000000001,6,1,57.0,75.0,45.0,52.0,28.0,43.0,39.0,42.0,32.0,10.0,3582.67,5621.070000000001,5015.07,5740.9,3403.9999999999995,3511.84,4179.0199999999995,3835.2000000000003,3310.8,2200.3300000000004,50,13,13,13,6,18,7,11,21,14,398,zzmz****,별,재밌어요,5개,음,바쿠만,그려
58456,0.5847013607483802,151.0,20141.670000000002,19,1,125.0,113.0,46.0,103.0,175.0,119.0,83.0,119.0,303.0,151.0,21003.210000000003,20141.670000000002,19178.16,18990.36,19856.04,19009.62,18202.8,18577.1,20402.2,18437.16,123,28,18,12,19,6,6,8,66,12,799,zsx8****,무가,마왕,정주행,심심한,마왕,마왕의
62812,0.5959338883700818,112.0,5060.12,2,1,113.0,84.0,44.0,59.0,108.0,84.0,79.0,62.0,74.0,112.0,5277.240000000001,5060.12,4958.03,5078.4,5114.6,4796.32,4771.8,4468.65,4948.44,5531.24,3,8,4,7,2,8,0,1,0,5,484,zxro****,정주행,귀엽다,넘,여자셨구나,첨부터,south
64092,0.49891044889005554,13.0,2320.5,0,0,65.0,23.0,22.0,43.0,85.0,24.0,21.0,16.0,22.0,13.0,2482.44,2320.5,2316.84,2296.65,3026.16,2321.75,1576.04,1415.6100000000001,1083.36,1057.6799999999998,1,2,14,4,0,0,0,3,0,3,258,zzzz****,완전,귀여워,정주행,아놔,언제쯤에나,이런거
66465,0.5903980471234161,119.0,19285.2,7,1,417.0,185.0,79.0,342.0,165.0,38.0,143.0,170.0,84.0,119.0,24776.719999999998,19285.2,18223.54,21824.600000000002,19266.44,14792.499999999998,16285.28,16437.41,14225.25,16100.96,45,107,36,20,7,10,2,6,2,9,1315,zzzs****,정주행,완전,역주행,역주행,알보칠,입에
68423,0.5718934934184184,242.0,15602.689999999999,2,1,119.0,80.0,71.0,70.0,59.0,229.0,483.0,461.0,454.0,242.0,17060.48,15602.689999999999,15112.5,15079.199999999999,15184.66,18351.9,18803.02,16051.470000000001,16536.64,14552.64,6,8,4,1,2,2,22,18,7,7,748,zzan****,샤월들은,보는,댓글을,댓글,보는,샤월
70872,0.5960989194184785,181.0,15178.24,9,1,196.0,58.0,72.0,116.0,112.0,63.0,120.0,218.0,112.0,181.0,17952.84,15178.24,14458.19,14594.130000000001,14552.16,14220.32,14626.259999999998,15136.83,14254.239999999998,15862.77,17,4,7,15,9,12,3,3,2,20,506,zena****,홍조,정주행,좋아요,왜,계속,왔는데
71525,0.41028194189739003,5.0,2226.84,6,0,9.0,8.0,20.0,6.0,16.0,11.0,11.0,8.0,13.0,5.0,2448.0,2226.84,2236.08,1813.5,1862.3999999999999,1764.75,1632.96,1446.0,1434.72,1423.5,5,7,3,2,6,4,6,19,3,1,112,yyjd****,일본에,신오오쿠보,관심이,그렇게,일본어,일본
73774,0.6133079295757026,24.0,1148.02,0,1,39.0,9.0,29.0,16.0,22.0,19.0,35.0,30.0,40.0,24.0,1447.6000000000001,1148.02,1277.02,1223.46,1215.39,1064.49,1173.6399999999999,1164.0,1152.45,1111.5,19,3,1,3,0,0,0,0,0,0,148,zkzk****,재밌어요,재밌네요,재밌음,나만,뭐야,이게
77453,0.47375955009497545,25.0,2535.6099999999997,0,0,49.0,46.0,41.0,46.0,38.0,25.0,19.0,15.0,50.0,25.0,2558.19,2535.6099999999997,2342.4,2388.6600000000003,2056.3999999999996,2030.96,1966.5600000000002,1968.6000000000001,2361.32,1989.27,7,0,8,1,0,0,0,0,0,0,337,zzzd****,완전,다음편,재밌어요,글을,2군데다,3번씩
81092,0.4198468571547781,11.0,1446.6599999999999,7,0,10.0,16.0,7.0,7.0,11.0,16.0,11.0,14.0,17.0,11.0,1163.4299999999998,1446.6599999999999,1203.3200000000002,840.96,841.9599999999999,849.72,639.36,868.3000000000001,846.9399999999999,751.4,19,17,11,8,7,14,10,21,17,0,84,yhle****,재밌어요,정주행,기대하겠습니다,재미없어,웬지,실장
