id,label,5_연재확률,10_연재확률,first_positive_5,second_view_1,third_rating_people_5,positive_1,positive_2,positive_3,positive_4,positive_5,view_1,view_2,view_3,view_4,view_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3,genre,title
15067,1,0.5291067469969817,0.4586839304752302,7.0,47660,1866.31,30.0,45.0,12.0,15.0,7.0,47660,49382,35250,29969,25529,3003.9,3279.36,2425.44,2298.9,1866.31,138,zkdl****,드디어,주짓수,기다렸어요,아무것도,있는데,주짓수,episode,어쩌다 주짓수
32937,0,0.5875832289738467,0.5046502589356534,51.0,6464,4757.97,140.0,48.0,61.0,59.0,51.0,6464,4143,3078,2752,2490,5366.4,5032.86,4831.04,4694.799999999999,4757.97,380,zzan****,정주행,좋아요,좋네요,예수님을,이해가,뭔가,story,엘레프
50004,0,0.3858616613560055,0.6061359462797319,24.0,552,186.0,17.0,20.0,19.0,11.0,24.0,552,182,88,61,50,392.73,189.0,156.03,177.1,186.0,100,zzan****,붐업,최고,쵝오,앗,증말,기르고,story,당신과 나의 귀한 만남
50196,0,0.5486483887825754,0.5363379159951028,86.0,7591,8112.0,236.0,103.0,98.0,95.0,86.0,7591,5674,5119,4943,4914,9341.1,8623.3,8533.210000000001,8402.199999999999,8112.0,695,zzzn****,정주행,다시,생각나서,이글,50분내로5군데안올리면시험점수뚝떨어집니다,라디오,story,크레파스
53694,0,0.544281048100364,0.5810409668373336,547.0,49517,15176.88,513.0,440.0,785.0,548.0,547.0,49517,62143,47170,49969,44404,15652.3,13973.15,16523.68,15801.52,15176.88,3017,zzsk****,웃겨,큐티,아나,아니라,이해가,진구가,omnibus,미친4컷 2010
55031,1,0.4445705026810107,0.500326797500396,13.0,8070,3214.4,30.0,9.0,8.0,9.0,13.0,8070,4915,2269,1565,1233,3865.14,3321.34,2883.8700000000003,2803.2,3214.4,93,znfm****,재밌어요,웃대에서,재밌게,헐2009년때,감명깊게봤었는데,아이비야,story,사막화花
58149,1,0.4895067813828043,0.4856829302149544,28.0,1324,3403.9999999999995,57.0,75.0,45.0,52.0,28.0,1324,538,378,335,310,3582.67,5621.070000000001,5015.07,5740.9,3403.9999999999995,398,zzmz****,별,재밌어요,5개,음,바쿠만,그려,story,도전!만화가!!
58456,1,0.5893374738845564,0.5847013607483802,175.0,11817,19856.04,125.0,113.0,46.0,103.0,175.0,11817,8784,8052,7660,7227,21003.210000000003,20141.67,19178.16,18990.36,19856.04,799,zsx8****,무가,마왕,정주행,심심한,마왕,마왕의,episode,마왕의 휴일
62812,1,0.6471628640774735,0.5959338883700818,108.0,8581,5114.6,113.0,84.0,44.0,59.0,108.0,8581,7125,6832,6383,6024,5277.240000000001,5060.12,4958.03,5078.4,5114.6,484,zxro****,정주행,귀엽다,넘,여자셨구나,첨부터,south,episode,"달리자, 호주!"
64092,0,0.5662265473961061,0.4989104488900555,85.0,7004,3026.16,65.0,23.0,22.0,43.0,85.0,7004,5736,2885,1977,1682,2482.44,2320.5,2316.84,2296.65,3026.16,258,zzzz****,완전,귀여워,정주행,아놔,언제쯤에나,이런거,episode,반짝반짝 행복해
